snomedctdescriptionid,snomedctconceptid
85782019,51505001
173091019,108557002
216262018,134456001
216688013,135921004
462473014,318735001
462481010,318752002
462489012,318771000
462499019,318780000
466405017,326510000
466410018,326515005
471874013,349914007
1186278019,134456001
1186415014,135921004
1188504013,318735001
1188518018,318771000
1191094019,326510000
1197801014,372508002
1200441010,375137004
1200442015,375138009
1200446017,375141000
1200448016,375143002
1201265019,375957001
1201266018,375958006
1201267010,375959003
1201382019,376073002
1201950012,376637008
1201952016,376639006
1201953014,376640008
1211043016,372508002
1213480014,375137004
1213481013,375138009
1213484017,375141000
1213486015,375143002
1214264011,375957001
1214265012,375958006
1214266013,375959003
1214375013,376073002
1214900014,376637008
1214902018,376639006
1214903011,376640008
1461246017,387068008
1461461018,387283005
1461611017,387433003
1469688018,395748009
1481182010,387068008
1481384017,387283005
1481524019,387433003
1489390016,395748009
2153212014,318766007
2153213016,318778006
2153242012,326515005
2160843013,318766007
2160844019,318778006
2160868010,326515005
2476756016,375143002
2692000012,108557002
2693243019,412519000
2693992019,135921004
2695693011,134456001
2710275014,349914007
2742155012,318780000
2751069016,51505001
2786976019,439233008
2794613019,439233008
2816741019,441534002
2816742014,441534002
3047090017,412519000
3482524017,108556006
3483105018,129484001
3483447013,318752002
3484876012,349913001
3488857017,76058001
3492155019,318752002
3500248014,318739007
3500249018,318740009
3502090018,421069003
3674360013,765548006
3674363010,765702000
3678390010,318781001
3678391014,318781001
3678394018,318782008
3678395017,318782008
3678396016,318783003
3678399011,318783003
3678400016,421069003
3679852016,318739007
3679853014,318740009
3682209017,375565008
3682211014,375565008
3682212019,318768008
3682213012,318768008
3682215017,374544006
3682216016,374544006
3682218015,318769000
3682220017,318769000
3682221018,374545007
3682223015,374545007
3682225010,318770004
3682226011,318770004
3683368015,318777001
3683369011,318777001
3683374015,318779003
3683375019,318779003
3683376018,318776005
3683377010,318776005
3683380011,375994005
3683381010,375994005
3683382015,375953002
3683383013,375953002
3683388016,375998008
3683389012,375998008
3683390015,375996007
3683392011,375996007
3683395013,375997003
3683396014,375997003
3700042019,318767003
3700043012,318767003
3709690016,767737001
3709691017,767737001
3711579010,768229007
3711580013,768229007
3712066013,768205000
3712067016,768205000
3714558011,108556006
3715284010,349913001
3716340016,76058001
3716753015,129484001
3718613017,772525009
3718614011,772525009
3722688013,773245005
3722689017,773245005
3722690014,773246006
3722691013,773246006
3726095019,108557002
3726096018,318781001
3726097010,318783003
3726098017,318782008
3726099013,765702000
3726100017,765702000
3726101018,765548006
3726102013,765548006
3732868019,776330005
3732869010,776330005
