snomedctdescriptionid,snomedctconceptid
84354015,50627005
108165014,65088001
120883014,72770009
173082018,108548008
216684010,135912000
216685011,135913005
216686012,135914004
216687015,135917006
432564014,292423002
436741012,296336001
436742017,296337005
436743010,296338000
436744016,296339008
436745015,296340005
436746019,296341009
436748018,296342002
436749014,296343007
462285015,318368005
462286019,318369002
462287011,318370001
462289014,318376007
462290017,318377003
462291018,318378008
462299016,318406005
462300012,318407001
462317017,318437005
462318010,318438000
462325015,318444001
462335014,318459007
462336010,318460002
462337018,318462005
462338011,318463000
462343016,318476006
462344010,318477002
462372015,318547005
462387013,318576008
462395012,318589002
462406019,318611002
470491013,346330007
470492018,346331006
470706014,346571002
470713014,346580002
470784014,346646009
472859013,354277005
691544012,296336001
691545013,296337005
691546014,296338000
691547017,296339008
691548010,296340005
691549019,296341009
691551015,296342002
691552010,296343007
788436017,50627005
804552014,65088001
813084013,72770009
1186410016,135912000
1186411017,135913005
1186412012,135914004
1186413019,135917006
1188387019,318369002
1188388012,318370001
1188389016,318376007
1188390013,318377003
1188391012,318378008
1188392017,318406005
1188393010,318407001
1188400019,318437005
1188412015,318477002
1188434018,318547005
1188458019,318611002
1193382013,346330007
1193383015,346331006
1193559012,346571002
1193565012,346580002
1193615014,346646009
1198045013,372750000
1198067014,372772003
1198121011,372826007
1199926011,374624007
1199932018,374630007
1200238016,374935000
1200327019,375024000
1200582012,375277004
1200583019,375278009
1200908018,375601008
1200909014,375602001
1200910016,375603006
1200911017,375604000
1201169015,375862001
1202784017,377465007
1211273016,372750000
1211295017,372772003
1211346015,372826007
1213019011,374624007
1213024014,374630007
1213299019,374935000
1213383010,375024000
1213614017,375277004
1213615016,375278009
1213924011,375601008
1213925012,375602001
1213926013,375603006
1213927016,375604000
1214174015,375862001
1456872018,318351006
1456873011,318368005
1456875016,318438000
1456876015,318462005
1456877012,318476006
1458433019,374927003
1458436010,374934001
1458721013,377023007
1458722018,377024001
1458723011,377025000
1458724017,377026004
1461046012,386868003
1461047015,386869006
1461684019,387506000
1465767014,391588007
1466838011,392657000
1469422011,395482002
1469748019,395808005
1475527014,318368005
1475528016,318438000
1475529012,318462005
1475530019,318476006
1476483019,318368005
1476484013,318438000
1476485014,318462005
1476486010,318476006
1477517019,318351006
1478304015,374927003
1478307010,374934001
1478518014,377023007
1478519018,377024001
1478520012,377025000
1478521011,377026004
1478822011,377465007
1480982019,386868003
1480983012,386869006
1481596011,387506000
1485589016,391588007
1485786013,391790005
1485847018,391854007
1486633010,392657000
1489155017,395482002
1489449015,395808005
1766752014,398832004
1766865011,398945001
1768179013,400259001
1768661013,400740002
1768758017,400837009
1778163013,398633007
1778325012,398832004
1778420018,398945001
1779506016,400259001
1779962010,400740002
1780051012,400837009
2152457012,408625009
2153207013,318585008
2153209011,318588005
2156728010,404849000
2160172011,408625009
2160838018,318585008
2160840011,318588005
2467884011,412432007
2474009013,412432007
2474593011,413041001
2476659019,354277005
2536671013,400837009
2576516012,419869001
2692089011,135913005
2692251011,135912000
2694110018,318476006
2695249017,135914004
2734756017,391790005
2737508019,318459007
2737509010,318460002
2742150019,318444001
2742151015,318463000
2742153017,318589002
2746722011,391854007
2974469013,698468005
2974500013,698468005
2981261017,698758004
2985824013,699722004
2987054018,699944004
3482520014,108547003
3482521013,108548008
3483424012,318638009
3485085017,356520008
3486905014,412544008
3487130019,420654006
3488198010,46547007
3488250011,55745002
3488430014,7092007
3488927013,87652004
3490576011,398633007
3490679013,404824004
3490684019,404849000
3490767018,108548008
3494755010,398633007
3494906014,404849000
3500186012,318352004
3500187015,318353009
3500188013,318354003
3500189017,318355002
3500191013,318420003
3500192018,318421004
3500193011,318434003
3500195016,318445000
3500196015,318446004
3500197012,318447008
3500198019,318458004
3500199010,318474009
3500200013,318475005
3500220014,318575007
3500221013,318575007
3500223011,318590006
3500224017,318591005
3500226015,318604001
3500227012,318605000
3500228019,318606004
3500229010,318607008
3500236011,318640004
3501282011,374912003
3501283018,374917009
3501469017,376570005
3501604017,377211005
3501605016,377211005
3501606015,377212003
3501607012,377212003
3501715018,377466008
3501721019,377476006
3501789015,392654007
3501794015,395515006
3501906017,409226009
3502200016,432118006
3502201017,432159000
3503286018,356519002
3503324015,420686001
3503338010,398711001
3503339019,398711001
3503340017,398711001
3509165016,734565001
3509166015,734565001
3516001016,735998009
3516007017,736001000
3516012016,736004008
3516013014,736004008
3523702013,398695002
3528939019,737678003
3659086013,765539001
3659087016,765539001
3659245011,765616004
3659246012,765616004
3659414010,765696000
3659415011,765696000
3659444013,765710004
3659445014,765710004
3659766019,765798005
3659767011,765798005
3660207019,765916002
3660208012,765916002
3674106011,765939008
3674107019,765939008
3674798010,765528004
3674799019,765528004
3674800015,765532005
3674801016,765532005
3675107010,765959007
3675109013,765959007
3675110015,765898001
3675111016,765898001
3675113018,765970000
3675114012,765970000
3676858018,377211005
3676861017,318421004
3676863019,318560004
3676864013,318560004
3676866010,318434003
3676867018,318587000
3676869015,318587000
3676873017,318575007
3676875012,377212003
3676877016,318420003
3677099017,318604001
3677100013,318597009
3677101012,318597009
3677104016,318591005
3677105015,410922003
3677106019,410922003
3677108018,318605000
3677110016,318606004
3677112012,377245003
3677114013,377245003
3677115014,318590006
3677117018,318607008
3679563011,377466008
3679569010,377476006
3679570011,395515006
3679993013,318445000
3679997014,318446004
3679999012,376570005
3680002011,318447008
3680006014,318458004
3680720010,318546001
3680721014,318546001
3680723012,414690005
3680724018,414690005
3680727013,414691009
3680728015,414691009
3680730018,318474009
3680731019,425167007
3680733016,425167007
3680734010,409226009
3680736012,425352000
3680738013,425352000
3680739017,414692002
3680741016,414692002
3680743018,318475005
3681034011,432159000
3681040016,432118006
3681041017,318640004
3682413014,318352004
3682416018,318355002
3682417010,374912003
3682419013,318353009
3682421015,374917009
3682423017,318584007
3682425012,318584007
3682426013,374930005
3682427016,374930005
3682430011,318354003
3682432015,392654007
3686929011,768801000
3691914011,769281004
3691916013,769281004
3692275010,766515003
3692276011,766515003
3692277019,766516002
3692279016,766516002
3692283016,766517006
3692284010,766517006
3695956019,769607007
3695957011,769607007
3695959014,769607007
3696815014,769857002
3696817018,769857002
3696818011,769857002
3697364017,770010007
3697365016,770010007
3697367012,770010007
3708447016,767903001
3708448014,767903001
3708627015,767904007
3708628013,767904007
3708629017,767905008
3708630010,767905008
3708631014,767905008
3708632019,440355006
3708633012,440355006
3708634018,439184001
3708635017,439184001
3708828010,767945004
