snomedctdescriptionid,snomedctconceptid
6162011,3046005
80076010,48052001
173104016,108570006
462512010,318825004
462538010,318908000
470525010,346362005
470576013,346411006
602242013,108570006
785578014,48052001
1193408014,346362005
1193449014,346411006
1197803012,372510000
1197952010,372658000
1201492011,376183001
1201493018,376184007
1201495013,376186009
1201954015,376641007
1201955019,376642000
1201956018,376643005
1202583013,377266006
1211045011,372510000
1211185019,372658000
1214476013,376183001
1214477016,376184007
1214479018,376186009
1214904017,376641007
1214905016,376642000
1214906015,376643005
1215168011,376925009
1458706019,376925009
1461338016,387160004
1461343011,387165009
1475893010,376925009
1476852012,376925009
1478638015,377266006
1481268016,387160004
1481273010,387165009
1766691010,398771007
1768772014,400851009
1778275011,398771007
1778304012,398806005
1780065014,400851009
2464877014,409426006
2464878016,409427002
2464879012,409428007
2471212019,409426006
2471213012,409427002
2471214018,409428007
2477026013,398771007
2688851010,429142000
2689046013,429143005
2692607011,429142000
2696086019,429143005
2742156013,318825004
2742157016,318908000
3482529010,108569005
3483162017,15222008
3483224010,29439004
3483236016,3046005
3486771011,409457006
3487202014,422016001
3490611017,398806005
3490680011,404829009
3491967019,3046005
3494799018,398806005
3500260010,318806002
3500261014,318807006
3500262019,318820009
3500263012,318821008
3500264018,318824000
3500266016,318850001
3500267013,318851002
3500268015,318853004
3500269011,318855006
3500283013,318909008
3500284019,318910003
3501300016,375105000
3501507019,376699008
3501619016,377263003
3501620010,377264009
3501621014,377265005
3501945010,409458001
3501946011,409459009
3523998011,414092003
3659243016,765615000
3659244010,765615000
3659358014,765670002
3659359018,765670002
3677258016,375105000
3677260019,318820009
3677261015,318806002
3677263017,377263003
3677265012,377264009
3677267016,318821008
3677270017,377265005
3677272013,318807006
3677273015,318824000
3678283019,377353009
3678284013,377353009
3678529016,377369002
3678530014,377369002
3678532018,318853004
3678534017,318850001
3678536015,318849001
3678538019,318849001
3678539010,318855006
3678541011,377370001
3678543014,377370001
3678545019,318851002
3679190012,409458001
3679193014,409459009
3679194015,318909008
3679196018,318910003
3679198017,376699008
3684525010,768113007
3708978013,768049005
3708979017,768049005
3708980019,768048002
3708981015,768048002
3709602018,768114001
3709603011,768114001
3709765010,768140007
3709766011,768140007
3709767019,714571001
3709768012,714571001
3709769016,768858004
3709770015,768858004
3710086018,768398009
3710087010,768398009
3710088017,768390002
3710089013,768390002
3713761018,29439004
3713762013,404829009
3714455011,768113007
3714625011,15222008
3714626012,422016001
3714627015,414092003
3714950012,108569005
3714951011,409457006
3730130014,775039005
3730131013,775039005
3730132018,775040007
3730133011,775040007
3731342016,775604009
3731343014,775604009
3731667011,775758007
3731668018,775758007
3731669014,775759004
3731670010,775759004
3731671014,775760009
3731672019,775760009
3732273017,776042008
3732274011,776042008
3732275012,776043003
3732276013,776043003
3738850010,778632001
3738851014,778632001
3738852019,778633006
3738853012,778633006
3739667013,779015008
3739668015,779015008
3739877013,779114009
3739878015,779114009
3739879011,779115005
3739880014,779115005
3739881013,779116006
3739882018,779116006
3740335012,779326008
3740336013,779326008
3740337016,779327004
3740338014,779327004
3751510017,609538008
3751511018,609538008
3751526016,609540003
3751527013,609540003
3751528015,609541004
3751530018,609541004
3757646012,783104000
3757647015,783104000
3760709016,783884000
3760710014,783884000
3760711013,783885004
3760712018,783885004
3760713011,783886003
3760714017,783886003
3760715016,783887007
3760716015,783887007
4361505015,1119307002
4361506019,1119307002
4571702012,1156059001
4571703019,1156059001
4571704013,1156060006
4571705014,1156060006
4573401013,1156288006
4573402018,1156288006
4573403011,1156289003
4573404017,1156289003
159161000001113,37078911000001105
159171000001115,37078911000001105
160661000001119,37111211000001107
160671000001112,37111211000001107
163781000001114,37078211000001101
163791000001111,37078211000001101
164881000001117,37111011000001102
164891000001115,37111011000001102
188401000001115,37078411000001102
188421000001110,37078411000001102
189641000001113,37079211000001106
189651000001111,37079211000001106
197801000001118,37111111000001101
197821000001113,37111111000001101
199801000001110,37111311000001104
199821000001115,37111311000001104
576271000001111,39415911000001108
576281000001113,39415911000001108
576491000001111,39415811000001103
576501000001119,39415811000001103
645851000001116,39416011000001100
645861000001118,39416011000001100
1144291000001113,110061000001108
1144961000001112,110061000001108
1511771000001115,9448911000001108
1511781000001118,9448911000001108
1513321000001116,102611000001100
1513341000001114,102611000001100
1515671000001112,104511000001109
1515681000001114,104511000001109
1516051000001115,9448711000001106
1516061000001117,9448711000001106
1518151000001115,259111000001109
1518161000001117,259111000001109
1519121000001117,346311000001105
1519141000001110,346311000001105
1544761000001117,38818811000001103
1544771000001110,38818811000001103
1545161000001119,38819211000001109
1545171000001112,38819211000001109
1545561000001110,38818611000001102
1545571000001117,38818611000001102
1545801000001114,38819511000001107
1545821000001119,38819511000001107
1546181000001117,38819011000001104
1546191000001115,38819011000001104
1554361000001118,38819111000001103
1554371000001111,38819111000001103
1554501000001112,38819311000001101
1554521000001117,38819311000001101
1555481000001118,38819611000001106
1555491000001116,38819611000001106
1556661000001119,38818711000001106
1556671000001112,38818711000001106
1557241000001115,38818911000001108
1557251000001117,38818911000001108
1576421000001113,38880811000001104
1576441000001115,38880811000001104
1577091000001116,38881411000001105
1577101000001110,38881411000001105
1577171000001116,38881211000001106
1577181000001119,38881211000001106
1577321000001117,38880611000001103
1577341000001110,38880611000001103
1577791000001118,38881011000001101
1577801000001119,38881011000001101
1578451000001116,38880711000001107
1578461000001118,38880711000001107
1578621000001114,38881311000001103
1578641000001116,38881311000001103
1578791000001119,38881111000001100
1578801000001115,38881111000001100
1580071000001110,38881511000001109
1580081000001112,38881511000001109
1580351000001117,38880911000001109
1580361000001119,38880911000001109
1588341000001118,38924411000001109
1588351000001115,38924411000001109
1589881000001114,38924511000001108
1589891000001111,38924511000001108
1593481000001112,38955411000001109
1593491000001114,38955411000001109
1596981000001114,38955811000001106
1596991000001111,38955811000001106
1607051000001111,20937311000001107
1609291000001118,20925711000001102
1611621000001115,20925811000001105
1612781000001117,20937411000001100
1756791000001119,1452811000001106
1756801000001115,1452811000001106
1758091000001116,1357611000001100
1758101000001110,1357611000001100
1759771000001112,9449011000001104
1759781000001114,9449011000001104
1766171000001114,1431611000001102
1766181000001111,1431611000001102
1767271000001118,9448811000001103
1767281000001116,9448811000001103
1769191000001119,1441811000001104
1769201000001117,1441811000001104
1811121000001117,39691911000001109
1811141000001110,39691911000001109
1846701000001113,773011000001102
1846721000001118,773011000001102
1847761000001110,665411000001109
1847771000001117,665411000001109
1849181000001111,127311000001103
1849191000001113,127311000001103
1850241000001118,233511000001103
1850251000001115,233511000001103
1856661000001118,9457011000001105
1856671000001111,9457011000001105
1859701000001116,9457311000001108
1859721000001111,9457311000001108
1862961000001115,291911000001104
1862971000001113,291911000001104
1864561000001117,50211000001104
1864571000001110,50211000001104
1866341000001118,345711000001101
1866351000001115,345711000001101
1872281000001113,1407411000001101
1872291000001110,1407411000001101
1873561000001114,9457211000001100
1873571000001116,9457211000001100
1875661000001112,1346611000001100
1875671000001119,1346611000001100
1877881000001114,1357111000001108
1877891000001111,1357111000001108
1878381000001116,1346711000001109
1878391000001119,1346711000001109
1879981000001112,9457511000001102
1879991000001114,9457511000001102
1882241000001113,9500411000001100
1882251000001111,9500411000001100
1884841000001118,1404311000001104
1884851000001115,1404311000001104
1885281000001112,1428611000001108
1885291000001114,1428611000001108
1888701000001116,1440411000001105
1888721000001111,1440411000001105
1892001000001115,1450111000001103
1892021000001110,1450111000001103
1894801000001115,1404211000001107
1894821000001110,1404211000001107
1899541000001116,9499811000001104
1899551000001118,9499811000001104
1942441000001113,40457911000001109
1942451000001111,40457911000001109
2079121000001114,40230111000001108
2079141000001116,40230111000001108
2079291000001116,40230211000001102
2079301000001117,40230211000001102
2101701000001116,40457711000001107
2101721000001111,40457711000001107
2101861000001112,40457511000001102
2101871000001119,40457511000001102
2110701000001111,332211000001104
2110721000001116,332211000001104
2111581000001117,33586411000001104
2111591000001115,33586411000001104
2112661000001118,829011000001101
2112671000001111,829011000001101
2116941000001114,923711000001107
2116951000001112,923711000001107
2117001000001110,766411000001107
2117021000001115,766411000001107
2117081000001119,9554911000001105
2117091000001117,9554911000001105
2122661000001112,260611000001102
2122671000001119,260611000001102
2124741000001112,9554711000001108
2124751000001110,9554711000001108
2126881000001117,488511000001104
2126891000001115,488511000001104
2128501000001111,401711000001103
2128521000001116,401711000001103
2130081000001114,40458011000001106
2130091000001111,40458011000001106
2130641000001112,40457811000001104
2130651000001110,40457811000001104
2131181000001116,40457611000001103
2131191000001119,40457611000001103
2134401000001116,9554811000001100
2134421000001111,9554811000001100
2138601000001112,1449111000001105
2138621000001117,1449111000001105
2139101000001111,1403911000001100
2139121000001116,1403911000001100
2144861000001116,33586611000001101
2144871000001114,33586611000001101
2145861000001115,1406911000001106
2145871000001113,1406911000001106
2149861000001117,1356911000001108
2149871000001110,1356911000001108
2150441000001113,9555011000001105
2150451000001111,9555011000001105
2150601000001113,1440211000001106
2150621000001118,1440211000001106
2158681000001115,1346311000001105
2158691000001118,1346311000001105
2160581000001114,1358111000001109
2160591000001111,1358111000001109
2242021000001112,41613611000001108
2242031000001114,41613611000001108
2242101000001116,41613811000001107
2242121000001111,41613811000001107
2268091000001116,40699911000001106
2268101000001110,40699911000001106
2268791000001118,40703711000001101
2268801000001119,40703711000001101
2269091000001113,40700111000001109
2269101000001119,40700111000001109
2269621000001116,40703811000001109
2269641000001114,40703811000001109
2269991000001114,40700211000001103
2270001000001117,40700211000001103
2270121000001111,40700011000001108
2270141000001118,40700011000001108
2446941000001115,40981911000001109
2446951000001117,40981911000001109
2446961000001119,40981711000001107
2446971000001112,40981711000001107
2447541000001114,40982011000001102
2447551000001112,40982011000001102
2448041000001115,40981811000001104
2448051000001117,40981811000001104
2608401000001119,41429911000001106
2608421000001114,41429911000001106
2608541000001117,41429711000001109
2608551000001119,41429711000001109
2609281000001116,41429811000001101
2609291000001119,41429811000001101
2609361000001116,41430011000001101
2609371000001114,41430011000001101
2614701000001115,41613911000001102
2614721000001110,41613911000001102
2614981000001114,41613711000001104
2614991000001111,41613711000001104
2827491000001113,775039005
2827501000001116,775039005
2838871000001111,775759004
2838881000001113,775759004
2860321000001110,775758007
2860341000001117,775758007
2865691000001110,776042008
2865701000001110,776042008
2932321000001114,41558811000001101
2932341000001116,41558811000001101
2932951000001117,41558911000001106
2932961000001119,41558911000001106
3116121000001114,35734911000001104
3116141000001116,35734911000001104
3116271000001115,35734711000001101
3116281000001118,35734711000001101
3117271000001117,35735011000001104
3117281000001115,35735011000001104
3117451000001111,35734811000001109
3117461000001114,35734811000001109
3140661000001118,9445411000001105
3140671000001111,9445411000001105
3144681000001117,665211000001105
3144691000001115,665211000001105
3147201000001115,792211000001109
3147221000001110,792211000001109
3158581000001111,23479311000001101
3158591000001113,23479311000001101
3160481000001119,9445611000001108
3160491000001117,9445611000001108
3160541000001112,23478811000001103
3160551000001110,23478811000001103
3161841000001117,21282011000001108
3161851000001119,21282011000001108
3163181000001116,23483911000001108
3163191000001119,23483911000001108
3164401000001115,23479611000001106
3164421000001110,23479611000001106
3171241000001111,21282111000001109
3171251000001114,21282111000001109
3176801000001115,9445711000001104
3176821000001110,9445711000001104
3177941000001110,1357911000001106
3177951000001113,1357911000001106
3182341000001115,9445511000001109
3182351000001117,9445511000001109
3182501000001113,23479011000001104
3182521000001118,23479011000001104
3186001000001117,23479811000001105
3186021000001112,23479811000001105
3190881000001118,1356711000001106
3190891000001116,1356711000001106
3192401000001113,23479411000001108
3192421000001118,23479411000001108
3195841000001116,23484011000001106
3195851000001118,23484011000001106
3282521000001116,42210511000001102
3282541000001114,42210511000001102
3283091000001119,42210611000001103
3283101000001113,42210611000001103
4280801000001111,120001000001104
7095601000001115,3326901000001104
7095701000001113,3327001000001100
7095801000001116,3327101000001104
7095901000001110,3327201000001106
7894401000001115,3326901000001104
7894501000001116,3327001000001100
7894601000001117,3327101000001104
7894701000001110,3327201000001106
7895601000001116,120001000001104
11453301000001113,1901000001109
11456301000001115,9501000001100
11457601000001111,12901000001100
11484101000001119,80301000001102
11511101000001112,156701000001100
11538401000001118,230401000001108
11564301000001111,301601000001100
11700501000001114,692601000001103
11733301000001118,782801000001109
11735401000001113,787901000001101
11753601000001113,860901000001102
11753701000001115,861001000001106
11753801000001112,861401000001101
11753901000001118,861501000001102
11800601000001111,2097001000001102
12012201000001112,25501000001105
12012301000001115,72201000001102
12012401000001111,782801000001109
12012501000001110,692601000001103
12012601000001114,860901000001102
12012701000001116,861001000001106
12012801000001113,1901000001109
12012901000001119,301601000001100
12013001000001111,9501000001100
12013101000001112,80301000001102
12013201000001117,861401000001101
12013301000001114,156701000001100
12013401000001118,2097001000001102
12013501000001119,230401000001108
12013601000001115,861501000001102
12015401000001119,787901000001101
12015501000001115,12901000001100
14821701000001112,3519611000001109
14821801000001115,3519611000001109
14822301000001115,3536611000001107
14822401000001111,3536611000001107
14823701000001113,3530311000001100
14823801000001116,3530311000001100
15350501000001119,8346711000001101
15350601000001115,8346711000001101
15350901000001110,8346811000001109
15351001000001118,8346811000001109
15351101000001117,8346311000001100
15351201000001112,8346311000001100
15351301000001115,8346911000001104
15351401000001111,8346911000001104
15351501000001110,8346411000001107
15351601000001114,8346411000001107
15351701000001116,8347011000001100
15351801000001113,8347011000001100
15351901000001119,8347111000001104
15352001000001110,8347111000001104
15352101000001111,8346511000001106
15352201000001116,8346511000001106
15352301000001113,8347311000001102
15352401000001117,8347311000001102
15352501000001118,8347211000001105
15352601000001119,8347211000001105
15352701000001112,8347411000001109
15352801000001115,8347411000001109
15352901000001114,8346611000001105
15353001000001117,8346611000001105
15353101000001116,8347511000001108
15353201000001111,8347511000001108
15353301000001119,8347611000001107
15353401000001110,8347611000001107
15353501000001114,8348011000001104
15353601000001113,8348011000001104
15353701000001115,8348211000001109
15353801000001112,8348211000001109
15353901000001118,8347811000001106
15354001000001115,8347811000001106
15354101000001119,8348311000001101
15354201000001114,8348311000001101
15354301000001117,8347911000001101
15354401000001113,8347911000001101
15354501000001112,8348111000001103
15354601000001111,8348111000001103
15354701000001118,8348511000001107
15354801000001110,8348511000001107
15354901000001116,8348711000001102
15355001000001116,8348711000001102
15355101000001115,8348611000001106
15355201000001110,8348611000001106
15355301000001118,8348811000001105
15355401000001114,8348811000001105
15426301000001118,8816111000001109
15426401000001114,8816111000001109
15502901000001117,8791811000001109
15503001000001114,8791811000001109
15503501000001117,8791911000001104
15503601000001118,8791911000001104
15788101000001117,8485511000001103
15788201000001112,8485511000001103
15788501000001110,8485611000001104
15788601000001114,8485611000001104
15788701000001116,8486011000001102
15788801000001113,8486011000001102
15789101000001113,8485711000001108
15789201000001118,8485711000001108
15789301000001110,8486111000001101
15789401000001119,8486111000001101
15811901000001113,8486211000001107
15812001000001117,8486211000001107
15812101000001116,8485811000001100
15812201000001111,8485811000001100
15812301000001119,8489611000001101
15812401000001110,8489611000001101
15812501000001114,8486511000001105
15812601000001113,8486511000001105
15812701000001115,8486711000001100
15812801000001112,8486711000001100
15813101000001111,8486611000001109
15813201000001116,8486611000001109
15813301000001113,8486811000001108
15813401000001117,8486811000001108
15813501000001118,8486911000001103
15813601000001119,8486911000001103
15813701000001112,8487011000001104
15813801000001115,8487011000001104
15830101000001113,7659911000001107
15830201000001118,7659911000001107
15930501000001110,8350011000001104
15930601000001114,8350011000001104
15930901000001119,8350111000001103
15931001000001111,8350111000001103
15931101000001112,8349711000001106
15931201000001117,8349711000001106
15931501000001119,8351011000001108
15931601000001115,8351011000001108
15931901000001110,8349911000001108
15932001000001119,8349911000001108
15932101000001118,8351111000001109
15932201000001113,8351111000001109
15932301000001116,8351211000001103
15932401000001112,8351211000001103
15932501000001111,8351511000001100
15932601000001110,8351511000001100
15932701000001117,8350811000001105
15932801000001114,8350811000001105
15933101000001113,8351911000001107
15933201000001118,8351911000001107
15933301000001110,8352011000001100
15933401000001119,8352011000001100
15933501000001115,8350911000001100
15933601000001116,8350911000001100
15933701000001114,8353311000001107
15933801000001117,8353311000001107
15933901000001111,8350211000001109
15934001000001114,8350211000001109
15934101000001110,8350511000001107
15934201000001115,8350511000001107
15934301000001112,8353411000001100
15934401000001116,8353411000001100
15934501000001117,8350611000001106
15934601000001118,8350611000001106
15934701000001111,8354411000001102
15934801000001119,8354411000001102
15934901000001113,8353811000001103
15935001000001113,8353811000001103
15935101000001114,8354511000001103
15935201000001119,8354511000001103
15935301000001111,8351611000001101
15935401000001115,8351611000001101
15935701000001110,8353911000001108
15935801000001118,8353911000001108
15936501000001112,8350311000001101
15936601000001111,8350311000001101
15937101000001116,8351811000001102
15937201000001111,8351811000001102
15937501000001114,8353511000001101
15937601000001113,8353511000001101
15938301000001118,8353611000001102
15938401000001114,8353611000001102
16050101000001111,728411000001104
16050201000001116,728411000001104
16054501000001111,367611000001108
16094701000001112,225811000001104
16094801000001115,225811000001104
16095901000001113,676011000001102
16096101000001115,115211000001105
16096701000001119,414411000001109
16096801000001111,414411000001109
16097101000001117,450811000001105
16097201000001112,450811000001105
16130301000001115,226411000001105
16130401000001111,226411000001105
16130901000001119,605411000001105
16131101000001112,19311000001107
16132701000001117,688811000001104
16136901000001116,26111000001109
16137001000001117,26111000001109
16137101000001116,92211000001108
16138101000001115,319411000001102
16141301000001110,856011000001106
16141401000001119,856011000001106
16142901000001116,51511000001108
16143001000001113,51511000001108
16164301000001116,654711000001106
16164401000001112,654711000001106
16164501000001111,762711000001100
16164601000001110,762711000001100
16165101000001119,653311000001105
16177701000001117,936511000001107
16211101000001117,4811000001104
16211201000001112,4811000001104
16211501000001110,795111000001105
16211901000001119,456011000001101
16212001000001110,456011000001101
16212501000001118,395411000001101
16212601000001119,395411000001101
16213301000001119,289711000001101
16213501000001114,526511000001100
16213601000001113,526511000001100
16213901000001118,695511000001106
16214301000001117,381411000001100
16214401000001113,381411000001100
16450101000001117,303411000001102
16450201000001112,303411000001102
16451101000001112,501411000001104
16452501000001111,424411000001101
16527501000001117,614411000001107
16527601000001118,614411000001107
16527701000001111,762611000001109
16527801000001119,762611000001109
16527901000001113,670111000001104
16528101000001111,429211000001101
16528201000001116,429211000001101
16528501000001118,248011000001100
16528701000001112,3911000001107
