snomedctdescriptionid,snomedctconceptid
173116010,108582002
602378017,108582002
1197805017,372512008
1198867013,373567002
1202783011,377464006
1211047015,372512008
1212034011,373567002
1215636016,377464006
1461054014,386876001
1461055010,386877005
1461056011,386878000
1469175017,395235006
1480990019,386876001
1480991015,386877005
1480992010,386878000
1488929010,395235006
1778266014,398759001
1778396019,398913006
2467711019,412259001
2467712014,412260006
2473848019,412259001
2473849010,412260006
3482441017,108581009
3482442012,108585000
3482443019,108587008
3482444013,108589006
3486189018,385471007
3486190010,385540001
3487257011,423799007
3487366013,426478002
3487420019,428304009
3488125016,443440004
3488999015,96309000
3490595016,398722002
3490603010,398759001
3490628019,398913006
3490629010,398914000
3490783018,108589006
3494363014,385471007
3494788015,398759001
3494821019,398913006
3495616012,423799007
3500293018,318955005
3500294012,318956006
3500296014,318968002
3500297017,318969005
3500298010,318970006
3500299019,318977009
3500300010,318978004
3500301014,318979007
3500302019,318980005
3501294019,375034009
3501295018,375035005
3501460018,376487009
3501569019,376998003
3501618012,377262008
3501728013,377488008
3501745015,385541002
3501746019,385542009
3501747011,385543004
3501798017,395521005
3501822017,407784004
3501864017,408055003
3501892010,409181005
3501909012,409298002
3502044014,416515008
3502084017,420960008
3502093016,421207006
3502270017,443619009
3502271018,443620003
3508020016,734504000
3508021017,734504000
3522431017,447064008
3522433019,447064008
3524586018,442293009
3642799012,763540002
3665687011,108589006
3666687019,385471007
3668397012,423799007
3668787018,447064008
3676345013,443619009
3676358014,443620003
3676551019,429150009
3676553016,429150009
3676554010,429150009
3676556012,429678006
3676557015,429678006
3676558013,429678006
3676560010,426688008
3676561014,426688008
3676562019,426688008
3676563012,425838008
3676565017,425838008
3676566016,425838008
3676610013,429502004
3676611012,429502004
3676612017,429502004
3676613010,429503009
3676615015,429503009
3676616019,429503009
3676618018,425967008
3676619014,425967008
3676621016,425967008
3676623018,426683004
3676624012,426683004
3676625013,426683004
3677240010,377262008
3677242019,318980005
3677244018,318977009
3677246016,409181005
3677248015,376998003
3677250011,318978004
3677252015,318979007
3679552013,395521005
3679554014,421207006
3679555010,377488008
3679588015,409298002
3679589011,420960008
3679869019,134461004
3679871019,134461004
3679873016,318969005
3679877015,134460003
3679879017,134460003
3679880019,318970006
3679882010,318968002
3680372015,395497004
3680373013,395497004
3680375018,407784004
3680376017,318955005
3680379012,318959004
3680380010,318959004
3680381014,318956006
3681277018,408055003
3681279015,409184002
3681280017,409184002
3681282013,385542009
3681283015,409185001
3681284014,409185001
3681286011,409186000
3681287019,409186000
3681290013,385543004
3681291012,385541002
3683926011,318963006
3683927019,318963006
3683930014,375035005
3683931013,376487009
3683934017,318961008
3683935016,318961008
3683936015,416515008
3683939010,318962001
3683940012,318962001
3683941011,375034009
3686115014,768574001
3686927013,768800004
3703608011,770960003
3703616019,770962006
3708393017,767834001
3708394011,767834001
3708495013,767880004
3708496014,767880004
3708499019,767878005
3708500011,767878005
3708966014,768047007
3708967017,768047007
3708968010,768046003
3708969019,768046003
3710291011,768581008
3710292016,768581008
3710303015,768803002
3710304014,768803002
3710689014,768579006
3710690017,768579006
3711816018,764145006
3711817010,764145006
3712338012,768313001
3712339016,768313001
3713052014,443440004
3713165019,770960003
3713166018,442293009
3713167010,428304009
3713172018,426478002
3713750014,108587008
3713751013,768800004
3715152014,398914000
3715158013,768574001
3715164018,770962006
3715173014,398722002
3715350014,108585000
3715549010,96309000
3715993019,385540001
3716509010,763540002
3716969017,108581009
3718573018,772505005
3718574012,772505005
3718575013,772506006
3718576014,772506006
3718627010,772532000
3718628017,772532000
3718893019,772655007
3718894013,772655007
3728933016,774474009
3728934010,774474009
3729125013,774559009
3729126014,774559009
3729127017,774560004
3729128010,774560004
3729129019,774561000
3729130012,774561000
3729133014,774563002
3729134015,774563002
3730108013,775028007
3730109017,775028007
3730110010,775029004
3730111014,775029004
3732652010,776227000
3732653017,776227000
3732658014,776230007
3732659018,776230007
3732666017,776234003
3732667014,776234003
3732682016,776242002
3732683014,776242002
3732993016,776392004
3732994010,776392004
3733372016,776577001
3733373014,776577001
3734225011,776982004
3734226012,776982004
3735257015,777480008
3735258013,777480008
3736149018,777913008
3736150018,777913008
3738045015,778248005
3738046019,778248005
3738165013,778304002
3738166014,778304002
3738169019,778306000
3738170018,778306000
3738834019,778624009
3738835018,778624009
3738836017,778625005
3738837014,778625005
3740628011,779465005
3740629015,779465005
3740634016,779468007
3740635015,779468007
3740642015,779472006
3740643013,779472006
3740658017,779480004
3740659013,779480004
