snomedctdescriptionid,snomedctconceptid
21036018,12218006
24385019,14340003
159397017,96297006
173061012,108527006
216554010,135796009
216564018,135806009
216581010,135823000
216583013,135825007
324350016,212715006
335813011,223070008
436761018,296355001
436764014,296358004
462187017,318172002
462218013,318203000
462222015,318213008
462223013,318215001
462224019,318216000
462225018,318217009
462231015,318246002
462232010,318247006
462234011,318250009
462235012,318251008
462575017,318974002
462576016,318975001
462607016,319142000
462608014,319147006
462612015,319180004
462613013,319181000
462614019,319182007
462615018,319183002
462616017,319184008
462617014,319185009
462618016,319186005
462619012,319187001
462620018,319198000
462621019,319205001
462623016,319209007
462629017,319215007
462630010,319216008
462637013,319233001
462638015,319247002
462639011,319248007
462640013,319272002
462641012,319273007
462642017,319274001
462643010,319275000
462644016,319276004
462645015,319277008
462647011,319282001
462650014,319287007
462651013,319288002
462654017,319291002
462668012,319315009
462676014,319324000
462678010,319352009
470491013,346330007
470823011,346703000
472905011,356206000
490350016,366804007
490359015,366811006
490365015,366817005
490368018,366820002
490435014,366884009
490445011,366891007
490451018,366897006
490454014,366900004
601757015,108527006
691565018,296355001
691568016,296358004
723323012,12218006
740348015,14340003
840630019,96297006
1188322010,318172002
1188344017,318213008
1188345016,318215001
1188346015,318216000
1188347012,318217009
1188349010,318247006
1188351014,318250009
1188352019,318251008
1188584010,318974002
1188585011,318975001
1188609014,319142000
1188610016,319147006
1188612012,319180004
1188613019,319181000
1188614013,319182007
1188615014,319183002
1188616010,319184008
1188617018,319185009
1188618011,319186005
1188619015,319187001
1188620014,319198000
1188621013,319205001
1188623011,319215007
1188624017,319216008
1188629010,319233001
1188630017,319247002
1188631018,319248007
1188632013,319272002
1188633015,319273007
1188634014,319274001
1188635010,319275000
1188636011,319276004
1188637019,319277008
1188639016,319282001
1188642010,319287007
1188643017,319288002
1188644011,319291002
1188655011,319315009
1188658013,319324000
1188660010,319352009
1193382013,346330007
1193648014,346703000
1194898018,356206000
1197538016,372245007
1197795017,372502001
1198049019,372754009
1198088017,372793000
1199255014,373955006
1199483014,374182008
1199484015,374183003
1199535014,374234008
1199627016,374326004
1199628014,374327008
1199871019,374569006
1200166015,374864008
1200169010,374867001
1200265011,374962008
1200266012,374963003
1200855012,375550007
1201127019,375820008
1201128012,375821007
1201188010,375881009
1201348013,376039007
1201605012,376295005
1201616017,376305002
1201617014,376306001
1201618016,376307005
1201640013,376329009
1201684013,376373008
1201942015,376629000
1201943013,376630005
1201947014,376634001
1202039014,376726004
1202069019,376755007
1202070018,376756008
1202071019,376757004
1202076012,376762003
1202077015,376763008
1202078013,376764002
1202091014,376777006
1202092019,376778001
1202093012,376779009
1210821018,372245007
1211037018,372502001
1211277015,372754009
1211314015,372793000
1211791010,373304005
1212398016,373955006
1212617016,374182008
1212618014,374183003
1212668018,374234008
1212745017,374326004
1212746016,374327008
1212964018,374569006
1213232013,374864008
1213234014,374867001
1213325018,374962008
1213326017,374963003
1213876014,375550007
1214135010,375820008
1214136011,375821007
1214192011,375881009
1214344016,376039007
1214583015,376295005
1214593010,376305002
1214594016,376306001
1214595015,376307005
1214616014,376329009
1214660014,376373008
1214892013,376629000
1214893015,376630005
1214897019,376634001
1214986018,376726004
1215010012,376755007
1215011011,376756008
1215012016,376757004
1215013014,376762003
1215014015,376763008
1215015019,376764002
1215026013,376777006
1215027016,376778001
1215028014,376779009
1456864015,318246002
1457420011,346595000
1458343015,374328003
1458379011,374618001
1458508015,375551006
1458509011,375552004
1458670019,376663003
1459154011,384976003
1461041019,386863007
1461042014,386864001
1461668015,387490003
1461813017,387635000
1461833018,387655004
1461836014,387658002
1461852012,387674007
1461854013,387676009
1461855014,387677000
1461858011,387680004
1465944019,391764007
1469704012,395764001
1469708010,395768003
1469926019,395986007
1475522015,318246002
1476197018,387680004
1476478010,318246002
1477158016,387680004
1477861018,346595000
1478256014,374328003
1478277012,374618001
1478367012,375551006
1478368019,375552004
1478485018,376663003
1479251012,384976003
1480978016,386863007
1480979012,386864001
1481581012,387490003
1481720014,387635000
1481740019,387655004
1481743017,387658002
1481759017,387674007
1481761014,387676009
1481762019,387677000
1485760015,391763001
1485761016,391764007
1489406016,395764001
1489410018,395768003
1489615015,395986007
1492210016,387680004
1766722018,398802007
1766828014,398908007
1768654014,400733003
1778300015,398802007
1778304012,398806005
1778392017,398908007
1779956017,400733003
1787330016,400733003
2153209011,318588005
2160041014,408491002
2160840011,318588005
2464877014,409426006
2464878016,409427002
2464879012,409428007
2466321018,410870005
2471212019,409426006
2471213012,409427002
2471214018,409428007
2472519013,410870005
2474721018,413175002
2475006010,318246002
2475216013,318246002
2529285016,387675008
2531466012,415811000
2532668019,387675008
2533278018,413733005
2534995010,415811000
2568689010,223070008
2575286013,418945005
2575287016,418301000
2575288014,418005003
2575289018,418049001
2575290010,418366008
2576041012,319282001
2576183017,375550007
2576243018,398802007
2576543019,418559008
2578729015,418945005
2578730013,418301000
2578731012,418005003
2578732017,418049001
2578733010,418366008
2606590011,135796009
2606598016,135806009
2606606016,135823000
2606607013,135825007
2613380015,413175002
2615333014,421048000
2617998014,421048000
2672867017,384976003
2708322018,429999007
2734041017,366817005
2734192010,366820002
2734626018,366811006
2736073013,391763001
2736640019,366804007
2738424017,366884009
2742144012,318203000
2742158014,319209007
2764156017,429999007
2786532015,439896005
2791793014,439896005
2794449014,406769001
2869676013,445360008
2869834019,445026007
2870437013,444719009
2870546016,445291000
2870805018,445026007
2871374016,444719009
2871543017,445291000
2872735010,445360008
3292666013,212715006
3293505011,212715006
3300372012,291288009
3300373019,291288009
3300374013,291288009
3300380017,296357009
3300618011,296356000
3300763019,291287004
3300764013,291287004
3300765014,291287004
3301411019,296357009
3301605014,296356000
3302862014,291289001
3302863016,291289001
3302865011,291289001
3327822011,722047001
3482508018,108526002
3482515014,108535009
3482516010,108537001
3483347014,318173007
3483532018,319299000
3485088015,356862006
3486755011,409411009
3487366013,426478002
3487420019,428304009
3488144011,444334000
3488207018,47898004
3488273015,59941008
3488912013,85272000
3490611017,398806005
3494799018,398806005
3500170017,318176004
3500171018,318177008
3500174014,318204006
3500175010,318205007
3500176011,318206008
3500177019,318248001
3500314010,319300008
3500315011,319301007
3500318013,319316005
3501122015,371761006
3501123013,371764003
3501172018,374263006
3501511013,376723007
3501512018,376724001
3501513011,376727008
3501514017,376728003
3509188015,734574004
3509189011,734574004
3520709017,373304005
3520881013,373304005
3522431017,447064008
3522433019,447064008
3523118011,422752005
3523702013,398695002
3524586018,442293009
3528949016,737673007
3646760019,48698004
3653632014,449275007
3659019010,765508003
3659020016,765508003
3659029015,765513004
3659030013,765513004
3659033010,765515006
3659034016,765515006
3659042015,765519000
3659043013,765519000
3659092019,765542007
3659093012,765542007
3659112016,765551004
3659113014,765551004
3659178011,765583005
3659179015,765583005
3659212011,765600001
3659213018,765600001
3659243016,765615000
3659244010,765615000
3659293017,765639005
3659294011,765639005
3659325017,765654004
3659326016,765654004
3659327013,765655003
3659328015,765655003
3659358014,765670002
3659359018,765670002
3659503010,765736006
3659504016,765736006
3660133016,765879003
3660134010,765879003
3660256018,765940005
3660257010,765940005
3660260015,765942002
3660261016,765942002
3660329018,765976006
3660330011,765976006
3660367015,765993006
3660368013,765993006
3660404011,766010003
3660405012,766010003
3663221016,418559008
3663222011,418559008
3668787018,447064008
3674106011,765939008
3674107019,765939008
3674300011,765495007
3674304019,766014007
3674308016,765907001
3674312010,765911007
3674315012,765948003
3674318014,765971001
3674323014,765969001
3674325019,765881001
3674328017,765679001
3674330015,765794007
3674333018,765712007
3674405019,765495007
3674419019,765679001
3674421012,766014007
3674423010,765881001
3674425015,765907001
3674428018,765911007
3674430016,765794007
3674431017,765971001
3674434013,765712007
3674436010,765948003
3674437018,765969001
3674561011,765505000
3674562016,765505000
3674563014,765618003
3674565019,765618003
3674567010,765590000
3674568017,765590000
3674915015,765893005
3674916019,765893005
3674917011,766009008
3674918018,766009008
3674932016,765952003
3674934015,765952003
3674936018,765730000
3674937010,765730000
3674938017,765885005
3674939013,765885005
3674941014,765575004
3674942019,765575004
3674944018,765937005
3674946016,765937005
3674948015,765687000
3674949011,765687000
3674951010,765623003
3674952015,765623003
3674953013,766004003
3674955018,766004003
3674956017,765510001
3674957014,765510001
3675261019,765926009
3675263016,765926009
3675306012,765878006
3675308013,765878006
3675310010,765947008
3675311014,765947008
3675312019,765711000
3675313012,765711000
3676082010,765961003
3676083017,765961003
3676084011,767821002
3676085012,767821002
3676531018,409416004
3676532013,409416004
3676534014,409416004
3676535010,409417008
3676537019,409417008
3676538012,409417008
3676539016,409418003
3676540019,409418003
3676542010,409418003
3676543017,409419006
3676544011,409419006
3676546013,409419006
3676547016,424049009
3676548014,424049009
3676550018,424049009
3676551019,429150009
3676553016,429150009
3676554010,429150009
3676556012,429678006
3676557015,429678006
3676558013,429678006
3676560010,426688008
3676561014,426688008
3676562019,426688008
3676563012,425838008
3676565017,425838008
3676566016,425838008
3676568015,319284000
3676569011,319284000
3676570012,319284000
3676571011,413509002
3676572016,413509002
3676574015,413509002
3676575019,413510007
3676577010,413510007
3676578017,413510007
3676580011,413511006
3676581010,413511006
3676582015,413511006
3676587014,409412002
3676588016,409412002
3676589012,409412002
3676592011,409413007
3676593018,409413007
3676594012,409413007
3676597017,409414001
3676598010,409414001
3676600016,409414001
3676601017,409415000
3676602012,409415000
3676604013,409415000
3676605014,424007004
3676606010,424007004
3676608011,424007004
3676610013,429502004
3676611012,429502004
3676612017,429502004
3676613010,429503009
3676615015,429503009
3676616019,429503009
3676618018,425967008
3676619014,425967008
3676621016,425967008
3676623018,426683004
3676624012,426683004
3676625013,426683004
3676626014,319283006
3676627017,319283006
3676628010,319283006
3676631011,421981001
3676632016,421981001
3676633014,421981001
3676634015,377591005
3676636018,377591005
3676637010,377591005
3676641014,377592003
3676642019,377592003
3676643012,377592003
3676644018,377593008
3676646016,377593008
3676647013,377593008
3678263015,374181001
3678264014,374181001
3678266011,376728003
3678269016,376723007
3678270015,376725000
3678271016,376725000
3678273018,376724001
3678275013,376727008
3678277017,376841009
3678278010,376841009
3678280016,376842002
3678281017,376842002
3678283019,377353009
3678284013,377353009
3678287018,376843007
3678288011,376843007
3678906018,318176004
3678907010,318177008
3680008010,319300008
3680010012,319301007
3680098018,319316005
3681087011,319217004
3681088018,319217004
3681089014,319218009
3681090017,319218009
3681138011,319223009
3681139015,319223009
3681140018,374616002
3681142014,374616002
3681143016,371761006
3681145011,319222004
3681147015,319222004
3681148013,371764003
3683301012,444097002
3683303010,444097002
3683304016,443977000
3683305015,443977000
3683312012,444112006
3683313019,444112006
3683316010,444209002
3683317018,444209002
3683978014,318206008
3683980015,318248001
3683983018,376754006
3683984012,376754006
3683985013,374263006
3683988010,318204006
3683990011,318205007
3684525010,768113007
3697585016,770071000
3697587012,770071000
3697588019,770071000
3703608011,770960003
3708491016,767867002
3708492011,767867002
3708493018,767879002
3708494012,767879002
3708495013,767880004
3708496014,767880004
3708497017,768207008
3708498010,768207008
3708499019,767878005
3708500011,767878005
3708501010,714114009
3708502015,714114009
3709602018,768114001
3709603011,768114001
3709604017,387633007
3709605016,387633007
3709606015,387634001
3709607012,387634001
3709960013,767989004
3709961012,767989004
3709962017,767789006
3709963010,767789006
3711003017,387653006
3711004011,387653006
3711005012,387654000
3711006013,387654000
3711020018,349916009
3711021019,349916009
3711022014,346612008
3711023016,346612008
3712226018,767782002
3712227010,767782002
3712356012,350599005
3712357015,350599005
3712358013,350600008
3712359017,350600008
3713050018,449275007
3713162016,108537001
3713163014,409411009
3713164015,737673007
3713165019,770960003
3713166018,442293009
3713167010,428304009
3713168017,444334000
3713172018,426478002
3713328010,398695002
3714454010,59941008
3714455011,768113007
3714815015,108535009
3714816019,318173007
3715419011,319299000
3715467018,356862006
3715901013,108526002
3715913015,85272000
3716870015,422752005
3716983015,47898004
3718164017,772320003
3718165016,772320003
3718652012,772544002
3718653019,772544002
3718680014,772558000
3718681013,772558000
3723607013,773457004
3723608015,773457004
3723609011,773458009
3723610018,773458009
3728929011,774472008
3728930018,774472008
3729121016,774557006
3729122011,774557006
3729123018,774558001
3729124012,774558001
3729125013,774559009
3729126014,774559009
3729127017,774560004
3729128010,774560004
3729129019,774561000
3729130012,774561000
3729131011,774562007
3729132016,774562007
3729133014,774563002
3729134015,774563002
3729392013,774688001
3729393015,774688001
3731340012,775603003
3731341011,775603003
3731342016,775604009
3731343014,775604009
3732030017,775923000
3732031018,775923000
3732032013,775924006
3732033015,775924006
3733124010,776456002
3733125011,776456002
3733211015,776499007
3733212010,776499007
3734048010,776898007
3734049019,776898007
3734070013,776908002
3734071012,776908002
3735959011,777820000
3735960018,777820000
3736177010,777927003
3736178017,777927003
3738163018,778303008
3738164012,778303008
3738165013,778304002
3738166014,778304002
3738167017,778305001
3738168010,778305001
3738169019,778306000
3738170018,778306000
3738171019,778307009
3738172014,778307009
3738330015,778384000
3738331016,778384000
3739667013,779015008
3739668015,779015008
3739669011,779016009
3739670012,779016009
3739671011,779017000
3739672016,779017000
3740153013,779237006
3740154019,779237006
3740155018,779238001
3740156017,779238001
3740993010,779642005
3740994016,779642005
3741049018,779670007
3741050018,779670007
3741731014,779997002
3741732019,779997002
3741733012,779998007
3741734018,779998007
3741755016,780008001
3741756015,780008001
3741757012,780009009
3741758019,780009009
3743156018,780678001
3743157010,780678001
3743319018,780758002
3743320012,780758002
3743321011,780759005
3743322016,780759005
3746125019,48698004
3752573012,782132001
3752574018,782132001
3757238017,783048008
3757239013,783048008
3757240010,783048008
3757241014,783049000
3757242019,783049000
3757243012,783049000
3759282018,406769001
3760709016,783884000
3760710014,783884000
3760711013,783885004
3760712018,783885004
3760713011,783886003
3760714017,783886003
3760715016,783887007
3760716015,783887007
3761669017,449276008
3761670016,449276008
3761671017,449276008
3761672012,448961004
3761673019,448961004
3761674013,448961004
3761675014,449342002
3761676010,449342002
3761677018,449342002
3761678011,449343007
3761679015,449343007
3761680017,449343007
3761681018,448969002
3761682013,448969002
3761683015,448969002
3761684014,447090006
3761685010,447090006
3761686011,447090006
3761687019,442402007
3761688012,442402007
3761689016,442402007
3761690013,447170000
3761691012,447170000
3761692017,447170000
3761693010,442215001
3761694016,442215001
3761695015,442215001
3761696019,447065009
3761697011,447065009
3761698018,447065009
3761699014,447088005
3761700010,447088005
3761701014,447088005
3761702019,442473003
3761703012,442473003
3761704018,442473003
3761705017,447089002
3761706016,447089002
3761707013,447089002
3761708015,442266006
3761709011,442266006
3761710018,442266006
3762164011,784216006
3762165012,784216006
3762166013,784217002
3762167016,784217002
3762176011,784218007
3762177019,784218007
3762178012,784219004
3762179016,784219004
3762180018,784220005
3762181019,784220005
3762182014,784221009
3762183016,784221009
3762916018,766527000
3762917010,766527000
3763890016,429151008
3763891017,429151008
3763892012,429151008
3763893019,429780008
3763894013,429780008
3763895014,429780008
3763896010,429152001
3763897018,429152001
3763898011,429152001
3767263015,785402008
3767264014,785402008
3770809012,786099006
3770810019,786099006
3786600011,789067004
3786601010,789067004
4535277017,1141776000
4535278010,1141776000
4535281017,1141779007
4535282012,1141779007
4535283019,1141780005
4535284013,1141780005
4535287018,1141782002
4535288011,1141782002
4535289015,1141783007
4535290012,1141783007
4535291011,1141783007
4535292016,1141784001
4535293014,1141784001
4535294015,1141784001
4535295019,1141785000
4535296018,1141785000
4535297010,1141785000
4535298017,1141786004
4535299013,1141786004
4535300017,1141786004
4556151018,1149502004
4556152013,1149502004
4556153015,1149503009
