snomedctdescriptionid,snomedctconceptid
11799015,6513000
14618017,8252004
19846019,11473005
61734012,37006008
110090016,66290002
462372015,318547005
470475010,346318001
470808018,346685002
470817018,346694008
472303010,350616005
472905011,356206000
662012011,11473005
768823017,37006008
804599019,6513000
805887013,66290002
823961019,8252004
1188434018,318547005
1193373019,346318001
1193637019,346685002
1193645012,346694008
1194529012,350616005
1194898018,356206000
1196639013,371342005
1196640010,371343000
1198042011,372747003
1198077011,372782002
1199999012,374697007
1200611015,375306005
1201914017,376601003
1202013011,376700009
1202544011,377228008
1202545012,377229000
1202583013,377266006
1202783011,377464006
1202784017,377465007
1202786015,377467004
1202787012,377468009
1202790018,377471001
1202796012,377477002
1202804010,377485006
1210012018,371342005
1210013011,371343000
1211270018,372747003
1211305013,372782002
1213080015,374697007
1213643013,375306005
1214865019,376601003
1214961010,376700009
1215636016,377464006
1215639011,377467004
1215640013,377468009
1215649014,377477002
1215656015,377484005
1215657012,377485006
1461551010,387373008
1461670012,387492006
1461698010,387520007
1461703016,387525002
1469886017,395946004
1469949017,396009008
1478600019,377228008
1478601015,377229000
1478638015,377266006
1478822011,377465007
1478828010,377471001
1481469010,387373008
1481583010,387492006
1481610010,387520007
1481615017,387525002
1485824019,391830002
1489578017,395946004
1489637010,396009008
1492143012,387520007
1766594014,398675008
1766626011,398707007
1766631013,398712008
1766691010,398771007
1766701012,398781006
1766752014,398832004
1766828014,398908007
1768772014,400851009
1773230011,398646002
1774516010,398646002
1778163013,398633007
1778198011,398675008
1778225014,398707007
1778229015,398712008
1778266014,398759001
1778275011,398771007
1778283017,398781006
1778323017,398830007
1778325012,398832004
1778339012,398850006
1778392017,398908007
1778396019,398913006
1778441012,398967000
1780065014,400851009
2148655014,404825003
2156704013,404822000
2156707018,404825003
2156728010,404849000
2164831019,350616005
2463842019,377484005
2464634010,409183008
2464904019,409453005
2470316012,377484005
2470994016,409183008
2471239010,409453005
2472548019,410901009
2476799014,377477002
2476800013,377484005
2477026013,398771007
2536615011,391817003
2572069019,318583001
2576042017,318583001
2576244012,398813005
2579359019,318583001
2733832018,391830002
2786976019,439233008
2794613019,439233008
3308420019,717101002
3316551013,20551000122108
3483178015,18914005
3483314017,317938008
3485074019,354276001
3485085017,356520008
3486675012,409112007
3486771011,409457006
3486797017,410901009
3486905014,412544008
3487075019,418826002
3487130019,420654006
3487190017,421852001
3487202014,422016001
3487257011,423799007
3488263017,5786005
3488307016,66919007
3488915010,85468002
3488951015,91667005
3490575010,398631009
3490576011,398633007
3490577019,398646002
3490590014,398688006
3490595016,398722002
3490596015,398727008
3490601012,398745008
3490603010,398759001
3490612012,398813005
3490614013,398822006
3490617018,398830007
3490618011,398850006
3490620014,398858004
3490621013,398889000
3490626015,398910009
3490628019,398913006
3490629010,398914000
3490632013,398941005
3490634014,398948004
3490636011,398967000
3490637019,398969002
3490670012,400874008
3490678017,404822000
3490680011,404829009
3490684019,404849000
3490685018,404850000
3494755010,398633007
3494756011,398646002
3494788015,398759001
3494800019,398813005
3494808014,398830007
3494809018,398850006
3494821019,398913006
3494831014,398967000
3494899013,404822000
3494906014,404849000
3495150016,410901009
3495616012,423799007
3500140010,317919004
3500141014,317920005
3500146016,317967009
3500165012,318127005
3500166013,318128000
3500222018,318586009
3500260010,318806002
3500261014,318807006
3501374014,375561004
3501387015,375786005
3501426013,376200005
3501427016,376201009
3501428014,376209006
3501461019,376508004
3501472012,376579006
3501556018,376905005
3501614014,377227003
3501618012,377262008
3501619016,377263003
3501620010,377264009
3501621014,377265005
3501629011,377278005
3501712015,377453008
3501715018,377466008
3501716017,377469001
3501717014,377472008
3501718016,377473003
3501719012,377474009
3501720018,377475005
3501721019,377476006
3501726012,377483004
3501727015,377487003
3501728013,377488008
3501793014,395514005
3501794015,395515006
3501795019,395516007
3501798017,395521005
3501799013,395523008
3501800012,395524002
3501801011,395525001
3501892010,409181005
3501909012,409298002
3501945010,409458001
3501946011,409459009
3502084017,420960008
3502093016,421207006
3502210013,433800003
3502212017,434131002
3502213010,434133004
3502216019,434362009
3502221016,439293005
3502952010,431854009
3502999015,91135008
3503002010,410876004
3503286018,356519002
3503291017,398704000
3503301010,421992000
3503324015,420686001
3503338010,398711001
3503339019,398711001
3503340017,398711001
3503896019,398701008
3503897011,398701008
3503898018,398701008
3522431017,447064008
3522433019,447064008
3522713019,354304001
3524072010,398940006
3524586018,442293009
3528934012,737676004
3528939019,737678003
3653632014,449275007
3667964018,420285008
3668397012,423799007
3668787018,447064008
3674108012,765644003
3674110014,765644003
3674112018,765680003
3674113011,765680003
3674800015,765532005
3674801016,765532005
3674995016,765731001
3674997012,765731001
3675107010,765959007
3675109013,765959007
3676223010,318586009
3676339017,434131002
3676343018,434362009
3676352010,433800003
3676355012,434133004
3676459019,318121006
3676460012,318121006
3676467010,377566005
3676468017,377566005
3676469013,318096005
3676470014,318096005
3676863019,318560004
3676864013,318560004
3676867018,318587000
3676869015,318587000
3677000011,377227003
3677004019,395524002
3677007014,395525001
3677012010,395523008
3677016013,317919004
3677018014,317920005
3677100013,318597009
3677101012,318597009
3677105015,410922003
3677106019,410922003
3677112012,377245003
3677114013,377245003
3677240010,377262008
3677246016,409181005
3677261015,318806002
3677263017,377263003
3677265012,377264009
3677270017,377265005
3677272013,318807006
3677503018,377278005
3677508010,395516007
3677512016,376905005
3677899016,317940003
3677901013,317940003
3678529016,377369002
3678530014,377369002
3678536015,318849001
3678538019,318849001
3678541011,377370001
3678543014,377370001
3678593013,410878003
3678595018,410878003
3678598016,410877008
3678599012,410877008
3679190012,409458001
3679193014,409459009
3679467014,377453008
3679526019,377461003
3679527011,377461003
3679536010,377462005
3679537018,377462005
3679544010,377463000
3679545011,377463000
3679548013,377478007
3679550017,377478007
3679552013,395521005
3679554014,421207006
3679555010,377488008
3679558012,374184009
3679559016,374184009
3679561013,377472008
3679563011,377466008
3679565016,377469001
3679566015,377473003
3679569010,377476006
3679570011,395515006
3679572015,377479004
3679573013,377479004
3679578016,377483004
3679582019,377486007
3679583012,377486007
3679586016,377487003
3679588015,409298002
3679589011,420960008
3679591015,376209006
3679594011,377474009
3679595012,377475005
3679599018,395514005
3679601016,376508004
3679623017,318127005
3679624011,318128000
3679626013,375786005
3679869019,134461004
3679871019,134461004
3679877015,134460003
3679879017,134460003
3680277012,318884002
3680278019,318884002
3680283010,318880006
3680284016,318880006
3680372015,395497004
3680373013,395497004
3680379012,318959004
3680380010,318959004
3680640013,376201009
3680642017,376200005
3680720010,318546001
3680721014,318546001
3680723012,414690005
3680724018,414690005
3680727013,414691009
3680728015,414691009
3680731019,425167007
3680733016,425167007
3680736012,425352000
3680738013,425352000
3680739017,414692002
3680741016,414692002
3680860019,410903007
3680861015,410903007
3680863017,410904001
3680864011,410904001
3680868014,410902002
3680869018,410902002
3680963018,318549008
3680964012,318549008
3680968010,318550008
3680969019,318550008
3681279015,409184002
3681280017,409184002
3681283015,409185001
3681284014,409185001
3681286011,409186000
3681287019,409186000
3682110018,317967009
3682113016,375561004
3682114010,439293005
3682423017,318584007
3682425012,318584007
3682506011,318892006
3682507019,318892006
3683307011,407855002
3683309014,407855002
3683318011,407856001
3683319015,407856001
3683568019,318555003
3683569010,318555003
3683571010,318556002
3683572015,318556002
3683573013,410889005
3683575018,410889005
3683776015,318098006
3683777012,318098006
3683785015,410896007
3683787011,410896007
3683795010,376579006
3685888011,768513000
3686115014,768574001
3686841017,768778001
3686927013,768800004
3686929011,768801000
3687280010,768860002
3692002015,408039005
3692003013,408039005
3699509018,377279002
3699510011,377279002
3699511010,377280004
3699512015,377280004
3699595019,377323002
3699597010,377323002
3699598017,377324008
3699600011,377324008
3699880012,377460002
3699881011,377460002
3699886018,377480001
3699888017,377480001
3699890016,377482009
3699891017,377482009
3699951019,377539005
3699952014,377539005
3703608011,770960003
3703616019,770962006
3706321015,771462006
3706322010,771462006
3706323017,771463001
3706324011,771463001
3708322017,767917005
3708323010,767917005
3708391015,767835000
3708392010,767835000
3708447016,767903001
3708448014,767903001
3708451019,767869004
3708452014,767869004
3708455011,768813005
3708456012,768813005
3708457015,767870003
3708458013,767870003
3708627015,767904007
3708628013,767904007
3708733016,768000003
3708734010,768000003
3708739017,713226004
3708740015,713226004
3708741016,768776002
3708742011,768776002
3708743018,768015002
3708744012,768015002
3708778018,768417001
3708779014,768417001
3708828010,767945004
3708829019,767945004
3708966014,768047007
3708967017,768047007
3708978013,768049005
3708979017,768049005
3709133017,768062009
3709134011,768062009
3709135012,768066007
3709136013,768066007
3709137016,428185004
3709138014,428185004
3709139018,428596000
3709140016,428596000
3709392018,767785000
3709393011,767785000
3709394017,768275004
3709395016,768275004
3709479015,767976005
3709480017,767976005
3709765010,768140007
3709766011,768140007
3709820013,768238009
3709821012,768238009
3710086018,768398009
3710087010,768398009
3710229017,768514006
3710230010,768514006
3710281017,768589005
3710282012,768589005
3710289015,768859007
3710290012,768859007
3710291011,768581008
3710292016,768581008
3710293014,767794006
3710294015,767794006
3710295019,768861003
3710296018,768861003
3710297010,768802007
3710298017,768802007
3710299013,768233000
3710300017,768233000
3710301018,768208003
3710302013,768208003
3710303015,768803002
3710304014,768803002
3710305010,714572008
3710306011,714572008
3710333010,768704000
3710334016,768704000
3710335015,768705004
3710336019,768705004
3711522015,768251004
3711523013,768251004
3712260013,770429005
3712261012,770429005
3712975012,398910009
3713050018,449275007
3713051019,431854009
3713137016,356520008
3713139018,418826002
3713141017,768778001
3713165019,770960003
3713166018,442293009
