medcodeid,Hypertensionmedcode,Invitationformonitoring,Selfcontrolledhypertension,Hypertensionreview,Wellcontrolledhypertension,Moderatepoorlycontrolledhype
1855791000006117,1,0,0,0,0,0
300870016,1,0,0,0,0,0
1806071000006118,1,0,0,0,0,0
262960017,1,0,0,0,0,0
299681011,1,0,0,0,0,0
158241000006117,1,0,0,0,0,0
1846961000006115,1,0,0,0,0,0
443764015,1,0,0,0,0,0
4775831000006118,1,0,0,0,0,0
6349461000006119,1,0,0,0,0,0
7696031000006114,1,0,0,0,0,0
7103581000006114,1,0,0,0,0,0
299680012,1,0,0,0,0,0
1823901000006112,1,0,0,0,0,0
2193021000000110,1,0,0,0,0,0
3642801000006112,1,0,0,0,0,0
1908721000006111,1,0,0,0,0,0
26091000000116,1,0,0,0,0,0
284062018,1,0,0,0,0,0
2193031000000112,1,0,0,0,0,0
131046010,1,0,0,0,0,0
1846941000006119,1,0,0,0,0,0
1908711000006115,1,0,0,0,0,0
285265015,1,0,0,0,0,0
3126651000006111,1,0,0,0,0,0
300871017,1,0,0,0,0,0
1780252014,1,0,0,0,0,0
909441000006118,1,0,0,0,0,0
80224019,1,0,0,0,0,0
53452019,1,0,0,0,0,0
264473010,1,0,0,0,0,0
153941000006118,1,0,0,0,0,0
1846991000006111,1,0,0,0,0,0
99042012,1,0,0,0,0,0
299678018,1,0,0,0,0,0
253532015,1,0,0,0,0,0
2548266018,1,0,0,0,0,0
3117511000006117,1,0,0,0,0,0
3117481000006113,1,0,0,0,0,0
299684015,1,0,0,0,0,0
151161000006115,1,0,0,0,0,0
790131000006118,1,0,0,0,0,0
93494011,1,0,0,0,0,0
1806081000006115,1,0,0,0,0,0
99047018,1,0,0,0,0,0
3117411000006118,1,0,0,0,0,0
884121000006111,1,0,0,0,0,0
790121000006116,1,0,0,0,0,0
299682016,1,0,0,0,0,0
264487010,1,0,0,0,0,0
940001000006110,1,0,0,0,0,0
395751018,1,0,0,0,0,0
2474335018,1,0,0,0,0,0
264485019,1,0,0,0,0,0
2423811000000118,0,1,0,0,0,0
8440011000006119,0,1,0,0,0,0
8439981000006118,0,1,0,0,0,0
790001000006110,0,1,0,0,0,0
5979471000006115,0,1,0,0,0,0
789951000006115,0,1,0,0,0,0
21601000000111,0,1,0,0,0,0
8459521000006112,0,1,0,0,0,0
12626361000006112,0,1,0,0,0,0
789991000006114,0,1,0,0,0,0
789971000006113,0,1,0,0,0,0
790011000006113,0,1,0,0,0,0
5999791000006119,0,1,0,0,0,0
8439991000006115,0,1,0,0,0,0
5978381000006118,0,1,0,0,0,0
789961000006118,0,1,0,0,0,0
8440001000006117,0,1,0,0,0,0
5979461000006110,0,1,0,0,0,0
7276911000006114,0,0,1,0,0,0
1131851000000118,0,0,1,0,0,0
2115801000000110,0,0,1,0,0,0
2117971000000119,0,0,1,0,0,0
1706551000000114,0,0,0,1,0,0
498791000006113,0,0,0,1,0,0
1780253016,0,0,0,1,0,0
1855781000006115,0,0,0,1,0,0
411919011,0,0,0,1,0,0
790031000006119,0,0,0,1,0,0
1780319017,0,0,0,1,0,0
264467014,0,0,0,1,0,0
790071000006116,0,0,0,1,0,0
790091000006115,0,0,0,1,0,0
405053013,0,0,0,1,0,0
5978371000006116,0,0,0,1,0,0
179371000006114,0,0,0,0,0,0
1780318013,0,0,0,0,0,1
264472017,0,0,0,0,0,1
264471012,0,0,0,0,1,0
