snomedctdescriptionid,snomedctconceptid,term
231589019,147849007,hypertension monitoring
236874016,152085006,referral to hypertension clinic
238437017,153366008,seen in hypertension clinic
239050016,153894006,hypertension admin: [monitoring] or [clinic]
239051017,153894006,hypertension monitoring admin.
239052012,153894006,hypertension clinic admin.
239053019,153895007,attends hypertension monitoring
239055014,153897004,hypertension monitoring offer default
239056010,153898009,hypertension monitoring first letter
239057018,153899001,hypertension monitoring second letter
239058011,153900006,hypertension monitoring third letter
239059015,153901005,hypertension monitoring verbal invite
239060013,153902003,hypertension monitoring telephone invite
239061012,153903008,hypertension monitoring deleted
239062017,153904002,hypertension monitor (& check done)
264502016,170603006,hypertension monitoring
284062018,183856001,referral to hypertension clinic
285138015,185161003,seen in hypertension clinic
285265015,185264001,seen in hypertension clinic
285715011,185716009,attends hypertension monitoring
285717015,185718005,hypertension monitoring offer default
285718013,185719002,hypertension monitoring first letter
285719017,185720008,hypertension monitoring second letter
285720011,185721007,hypertension monitoring third letter
285721010,185722000,hypertension monitoring verbal invite
285722015,185723005,hypertension monitoring telephone invite
285723013,185724004,hypertension monitoring deleted
285724019,185725003,hypertension monitor (& check done)
285725018,185725003,hypertension monitor.chck done
285726017,185725003,hypertension monitored
405052015,270440008,hypertension monitoring check done
405053013,270440008,hypertension monitored
411919011,275944005,hypertension monitoring
451862010,308502002,hypertension monitoring status
451863017,308503007,hypertension monitoring call
454000016,310427004,hypertension monitoring invitation
567384018,183856001,referral to hypertension clinic (procedure)
568322019,185264001,seen in hypertension clinic (finding)
568751017,185716009,attends hypertension monitoring (finding)
568752012,185717000,refuses hypertension monitoring (finding)
568753019,185718005,hypertension monitoring offer default (finding)
568754013,185719002,hypertension monitoring first letter (procedure)
568755014,185720008,hypertension monitoring second letter (procedure)
568756010,185721007,hypertension monitoring third letter (procedure)
568757018,185722000,hypertension monitoring verbal invite (procedure)
568759015,185723005,hypertension monitoring telephone invite (procedure)
663077018,270440008,hypertension monitoring check done (finding)
705046012,308502002,hypertension monitoring status (finding)
705047015,308503007,hypertension monitoring call (procedure)
706986012,310427004,hypertension monitoring invitation (procedure)
1768969012,401048005,hypertension six month review (procedure)
1780253016,401048005,hypertension six month review
1780319017,401118009,hypertension annual review
2715618011,153894006,hypertension admin: [monitoring] or [clinic] (regime/therapy)
2721181017,153366008,seen in hypertension clinic (finding)
2721364018,170603006,hypertension monitoring (regime/therapy)
2722046018,153901005,hypertension monitoring verbal invite (regime/therapy)
2722047010,153903008,hypertension monitoring deleted (regime/therapy)
2723316016,147849007,hypertension monitoring (procedure)
2723789017,148437000,hypertension screening (procedure)
2737766015,152085006,referral to hypertension clinic (procedure)
2739129012,153900006,hypertension monitoring third letter (regime/therapy)
2740598012,153898009,hypertension monitoring first letter (regime/therapy)
2740599016,153902003,hypertension monitoring telephone invite (regime/therapy)
2741076019,153897004,hypertension monitoring offer default (regime/therapy)
2741109012,153895007,attends hypertension monitoring (regime/therapy)
2748415012,153899001,hypertension monitoring second letter (regime/therapy)
2752978014,185161003,seen in hypertension clinic (finding)
